  t (Gyr) =   0.0005
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.010  2387.   -2.47  3.37  0.342    1.000   8.78   8.24   7.83  
 0.015  2514.   -2.21  3.37  0.417    1.000   8.14   7.62   7.24  
 0.020  2594.   -2.05  3.39  0.470    1.000   7.75   7.23   6.87  
 0.030  2668.   -1.79  3.35  0.604    1.000   7.10   6.57   6.24  
 0.040  2733.   -1.66  3.39  0.667    1.000   6.79   6.26   5.94  
 0.050  2762.   -1.48  3.33  0.797    1.000   6.36   5.82   5.52  
 0.060  2808.   -1.40  3.36  0.848    1.000   6.17   5.62   5.33  
 0.070  2835.   -1.33  3.37  0.907    1.000   5.99   5.44   5.15  
 0.072  2832.   -1.29  3.34  0.944    1.000   5.90   5.35   5.07  
 0.075  2836.   -1.27  3.34  0.974    1.000   5.83   5.28   5.00  
 0.080  2837.   -1.20  3.30  1.048    1.000   5.67   5.11   4.83  
 0.090  2864.   -1.13  3.30  1.110    1.000   5.51   4.95   4.68  
 0.100  2925.   -1.15  3.40  1.041    1.000   5.58   5.01   4.75  
 0.200  3220.   -0.54  3.26  1.741    1.000   4.18   3.42   3.23  
 0.300  3460.   -0.20  3.22  2.220    1.000   3.46   2.60   2.41  
 0.400  3670.   -0.05  3.30  2.356    1.000   3.18   2.30   2.12  
 0.500  3848.    0.07  3.35  2.464    1.000   2.93   2.08   1.91  
 0.600  3987.    0.16  3.40  2.544    1.000   2.75   1.94   1.77  
 0.700  4110.    0.26  3.43  2.678    1.000   2.53   1.77   1.61  
 0.800  4221.    0.35  3.44  2.827    1.000   2.33   1.61   1.46  
 0.900  4315.    0.43  3.45  2.967    1.000   2.15   1.46   1.32  
 1.000  4397.    0.50  3.45  3.103    1.000   1.99   1.33   1.20  
 1.100  4471.    0.57  3.46  3.235    1.000   1.85   1.22   1.09  
 1.200  4537.    0.63  3.46  3.370    1.000   1.72   1.10   0.98  
 1.300  4596.    0.68  3.46  3.496    1.000   1.60   1.00   0.88  
 1.400  4647.    0.74  3.46  3.630    1.000   1.48   0.91   0.79  



  t (Gyr) =   0.0010
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.010  2345.   -2.70  3.57  0.273    1.000   9.33   8.78   8.36  
 0.015  2504.   -2.42  3.58  0.329    1.000   8.67   8.14   7.76  
 0.020  2598.   -2.25  3.59  0.375    1.000   8.24   7.72   7.35  
 0.030  2710.   -1.98  3.57  0.471    1.000   7.59   7.06   6.73  
 0.040  2779.   -1.81  3.57  0.541    1.000   7.19   6.66   6.34  
 0.050  2824.   -1.65  3.53  0.633    1.000   6.79   6.25   5.95  
 0.060  2864.   -1.53  3.52  0.708    1.000   6.50   5.95   5.67  
 0.070  2897.   -1.41  3.49  0.788    1.000   6.23   5.67   5.40  
 0.072  2896.   -1.39  3.48  0.809    1.000   6.17   5.61   5.34  
 0.075  2897.   -1.36  3.47  0.836    1.000   6.10   5.54   5.27  
 0.080  2898.   -1.31  3.45  0.884    1.000   5.97   5.41   5.14  
 0.090  2908.   -1.23  3.42  0.967    1.000   5.77   5.20   4.94  
 0.100  2936.   -1.17  3.43  1.010    1.000   5.64   5.06   4.80  
 0.200  3226.   -0.66  3.38  1.515    1.000   4.47   3.74   3.54  
 0.300  3428.   -0.48  3.48  1.649    1.000   4.11   3.32   3.12  
 0.400  3634.   -0.32  3.54  1.767    1.000   3.81   2.97   2.78  
 0.500  3802.   -0.18  3.59  1.885    1.000   3.54   2.70   2.52  
 0.600  3955.   -0.07  3.62  1.986    1.000   3.30   2.50   2.33  
 0.700  4078.    0.04  3.63  2.113    1.000   3.07   2.30   2.14  
 0.800  4192.    0.13  3.65  2.218    1.000   2.88   2.14   1.99  
 0.900  4290.    0.21  3.66  2.328    1.000   2.70   1.99   1.86  
 1.000  4377.    0.28  3.66  2.435    1.000   2.53   1.86   1.73  
 1.100  4456.    0.35  3.67  2.540    1.000   2.38   1.74   1.61  
 1.200  4529.    0.41  3.68  2.632    0.999   2.26   1.64   1.51  
 1.300  4596.    0.47  3.68  2.731    0.998   2.13   1.53   1.42  
 1.400  4658.    0.52  3.68  2.819    0.998   2.02   1.45   1.33  



  t (Gyr) =   0.0020
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.010  2236.   -2.96  3.75  0.222    1.000  10.00   9.41   8.97  
 0.015  2452.   -2.65  3.77  0.264    1.000   9.23   8.69   8.30  
 0.020  2571.   -2.46  3.78  0.301    1.000   8.77   8.23   7.87  
 0.030  2707.   -2.14  3.73  0.390    1.000   8.01   7.48   7.14  
 0.040  2784.   -1.90  3.67  0.484    1.000   7.43   6.89   6.58  
 0.050  2829.   -1.72  3.61  0.579    1.000   6.98   6.44   6.14  
 0.060  2867.   -1.58  3.57  0.667    1.000   6.63   6.08   5.79  
 0.070  2902.   -1.45  3.53  0.749    1.000   6.33   5.78   5.50  
 0.072  2907.   -1.43  3.53  0.767    1.000   6.27   5.72   5.45  
 0.075  2914.   -1.40  3.52  0.792    1.000   6.20   5.64   5.37  
 0.080  2924.   -1.35  3.50  0.834    1.000   6.07   5.51   5.24  
 0.090  2934.   -1.26  3.47  0.911    1.000   5.86   5.29   5.03  
 0.100  2972.   -1.26  3.53  0.897    1.000   5.85   5.27   5.02  
 0.200  3202.   -0.96  3.67  1.086    1.000   5.21   4.55   4.33  
 0.300  3428.   -0.72  3.72  1.248    1.000   4.72   3.97   3.76  
 0.400  3606.   -0.55  3.76  1.374    1.000   4.37   3.58   3.38  
 0.500  3763.   -0.41  3.79  1.488    1.000   4.08   3.27   3.08  
 0.600  3906.   -0.29  3.82  1.575    1.000   3.84   3.04   2.87  
 0.700  4033.   -0.18  3.84  1.672    0.999   3.61   2.83   2.67  
 0.800  4153.   -0.09  3.85  1.762    0.996   3.40   2.65   2.50  
 0.900  4259.   -0.00  3.86  1.848    0.986   3.22   2.51   2.36  
 1.000  4350.    0.07  3.87  1.933    0.973   3.05   2.37   2.24  
 1.100  4432.    0.14  3.87  2.010    0.969   2.91   2.25   2.13  
 1.200  4508.    0.20  3.88  2.089    0.972   2.77   2.14   2.02  
 1.300  4581.    0.26  3.88  2.165    0.977   2.64   2.04   1.92  
 1.400  4653.    0.32  3.88  2.238    0.983   2.52   1.94   1.83  



  t (Gyr) =   0.0030
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.010  2142.   -3.13  3.84  0.199    1.000  10.44   9.80   9.34  
 0.015  2406.   -2.79  3.88  0.234    1.000   9.57   9.02   8.62  
 0.020  2545.   -2.57  3.88  0.269    1.000   9.05   8.51   8.14  
 0.030  2706.   -2.17  3.76  0.376    1.000   8.09   7.55   7.22  
 0.040  2784.   -1.92  3.69  0.474    1.000   7.48   6.94   6.62  
 0.050  2831.   -1.74  3.64  0.563    1.000   7.04   6.50   6.20  
 0.060  2870.   -1.61  3.60  0.639    1.000   6.72   6.17   5.88  
 0.070  2906.   -1.51  3.59  0.701    1.000   6.47   5.92   5.64  
 0.072  2911.   -1.49  3.59  0.715    1.000   6.42   5.86   5.59  
 0.075  2919.   -1.46  3.58  0.732    1.000   6.36   5.80   5.53  
 0.080  2931.   -1.42  3.57  0.764    1.000   6.25   5.69   5.42  
 0.090  2956.   -1.36  3.59  0.800    1.000   6.12   5.55   5.29  
 0.100  2998.   -1.44  3.73  0.716    1.000   6.32   5.74   5.48  
 0.200  3196.   -1.10  3.81  0.924    1.000   5.57   4.93   4.70  
 0.300  3404.   -0.86  3.85  1.075    1.000   5.06   4.35   4.13  
 0.400  3582.   -0.68  3.88  1.196    1.000   4.69   3.92   3.72  
 0.500  3731.   -0.54  3.91  1.302    1.000   4.39   3.60   3.41  
 0.600  3868.   -0.42  3.93  1.385    0.996   4.15   3.35   3.18  
 0.700  3998.   -0.31  3.95  1.470    0.978   3.92   3.13   2.97  
 0.800  4120.   -0.21  3.96  1.547    0.918   3.70   2.95   2.80  
 0.900  4232.   -0.13  3.97  1.617    0.873   3.53   2.80   2.66  
 1.000  4330.   -0.05  3.98  1.687    0.875   3.36   2.67   2.54  
 1.100  4421.    0.02  3.99  1.761    0.899   3.20   2.54   2.41  
 1.200  4505.    0.09  3.99  1.831    0.925   3.06   2.43   2.30  
 1.300  4588.    0.15  3.99  1.902    0.947   2.92   2.32   2.20  
 1.400  4671.    0.22  3.99  1.982    0.965   2.77   2.20   2.08  



  t (Gyr) =   0.0040
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.010  2053.   -3.27  3.90  0.186    1.000  10.85  10.13   9.63  
 0.015  2362.   -2.89  3.94  0.216    1.000   9.80   9.24   8.84  
 0.020  2535.   -2.61  3.91  0.259    1.000   9.15   8.60   8.23  
 0.030  2705.   -2.19  3.78  0.370    1.000   8.12   7.59   7.25  
 0.040  2785.   -1.95  3.71  0.461    1.000   7.54   7.00   6.68  
 0.050  2834.   -1.78  3.67  0.538    1.000   7.14   6.59   6.29  
 0.060  2875.   -1.68  3.68  0.587    1.000   6.90   6.35   6.06  
 0.070  2914.   -1.64  3.73  0.600    1.000   6.80   6.25   5.97  
 0.072  2921.   -1.63  3.73  0.606    1.000   6.77   6.21   5.94  
 0.075  2931.   -1.61  3.74  0.611    1.000   6.75   6.18   5.91  
 0.080  2946.   -1.58  3.74  0.630    1.000   6.66   6.09   5.82  
 0.090  2976.   -1.53  3.76  0.652    1.000   6.55   5.97   5.71  
 0.100  3013.   -1.55  3.85  0.619    1.000   6.62   6.04   5.78  
 0.200  3206.   -1.19  3.90  0.829    1.000   5.80   5.17   4.93  
 0.300  3389.   -0.95  3.93  0.977    1.000   5.28   4.59   4.37  
 0.400  3560.   -0.78  3.97  1.086    1.000   4.91   4.17   3.96  
 0.500  3704.   -0.63  3.99  1.183    0.995   4.61   3.84   3.65  
 0.600  3842.   -0.51  4.01  1.268    0.966   4.35   3.57   3.39  
 0.700  3976.   -0.40  4.03  1.344    0.836   4.13   3.35   3.18  
 0.800  4096.   -0.30  4.04  1.412    0.712   3.92   3.16   3.01  
 0.900  4212.   -0.22  4.05  1.476    0.718   3.74   3.01   2.87  
 1.000  4315.   -0.14  4.06  1.539    0.761   3.57   2.88   2.74  
 1.100  4417.   -0.06  4.06  1.613    0.826   3.39   2.74   2.61  
 1.200  4513.    0.02  4.06  1.682    0.879   3.23   2.61   2.48  
 1.300  4609.    0.09  4.06  1.754    0.922   3.08   2.48   2.37  
 1.400  4710.    0.16  4.06  1.830    0.952   2.92   2.36   2.25  



  t (Gyr) =   0.0050
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.010  1961.   -3.39  3.94  0.177    1.000  11.25  10.43   9.87  
 0.015  2330.   -2.96  3.99  0.206    1.000   9.97   9.40   8.99  
 0.020  2531.   -2.62  3.92  0.256    1.000   9.18   8.63   8.26  
 0.030  2705.   -2.20  3.79  0.364    1.000   8.16   7.62   7.29  
 0.040  2785.   -1.98  3.75  0.443    1.000   7.62   7.08   6.77  
