
  t (Gyr) =   0.0005
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
 0.010  2387.   -2.47  3.37  0.342    1.000  16.85  14.31  11.79   8.75   8.28   7.81   7.42   7.13   7.28
 0.015  2514.   -2.21  3.37  0.417    1.000  15.55  13.24  10.82   8.11   7.65   7.22   6.86   6.59   6.71
 0.020  2594.   -2.05  3.39  0.470    1.000  14.77  12.61  10.24   7.72   7.26   6.86   6.51   6.26   6.37
 0.030  2668.   -1.79  3.35  0.604    1.000  13.79  11.75   9.45   7.07   6.60   6.22   5.90   5.66   5.75
 0.040  2733.   -1.66  3.39  0.667    1.000  13.18  11.26   9.02   6.76   6.29   5.93   5.63   5.39   5.48
 0.050  2762.   -1.48  3.33  0.797    1.000  12.68  10.78   8.56   6.33   5.85   5.50   5.22   4.98   5.07
 0.060  2808.   -1.40  3.36  0.848    1.000  12.30  10.48   8.29   6.13   5.65   5.32   5.05   4.81   4.90
 0.070  2835.   -1.33  3.37  0.907    1.000  12.07  10.27   8.09   5.95   5.46   5.14   4.88   4.65   4.74
 0.072  2832.   -1.29  3.34  0.944    1.000  12.00  10.20   8.01   5.87   5.37   5.06   4.80   4.56   4.66
 0.075  2836.   -1.27  3.34  0.974    1.000  11.93  10.12   7.94   5.80   5.30   4.98   4.73   4.49   4.59
 0.080  2837.   -1.20  3.30  1.048    1.000  11.79   9.98   7.79   5.64   5.14   4.82   4.57   4.33   4.43
 0.090  2864.   -1.13  3.30  1.110    1.000  11.58   9.79   7.61   5.48   4.97   4.67   4.43   4.19   4.29
 0.100  2925.   -1.15  3.40  1.041    1.000  11.42   9.71   7.59   5.55   5.03   4.74   4.52   4.29   4.39
 0.200  3220.   -0.54  3.26  1.741    1.000   9.07   7.73   5.84   4.13   3.44   3.24   3.13   2.94   3.06
 0.300  3460.   -0.20  3.22  2.220    1.000   7.59   6.50   4.88   3.40   2.61   2.44   2.36   2.24   2.38
 0.400  3670.   -0.05  3.30  2.356    1.000   6.61   5.72   4.40   3.12   2.31   2.15   2.07   2.01   2.15
 0.500  3848.    0.07  3.35  2.464    1.000   5.81   5.04   4.00   2.87   2.08   1.94   1.86   1.83   1.98
 0.600  3987.    0.16  3.40  2.544    1.000   5.34   4.60   3.74   2.69   1.94   1.81   1.73   1.71   1.85
 0.700  4110.    0.26  3.43  2.678    1.000   4.98   4.20   3.47   2.47   1.77   1.65   1.57   1.56   1.69
 0.800  4221.    0.35  3.44  2.827    1.000   4.61   3.86   3.21   2.27   1.60   1.49   1.42   1.41   1.54
 0.900  4315.    0.43  3.45  2.967    1.000   4.32   3.60   3.00   2.10   1.46   1.36   1.29   1.28   1.40
 1.000  4397.    0.50  3.45  3.103    1.000   4.07   3.38   2.81   1.94   1.33   1.23   1.16   1.16   1.27
 1.100  4471.    0.57  3.46  3.235    1.000   3.85   3.18   2.64   1.80   1.21   1.12   1.05   1.05   1.16
 1.200  4537.    0.63  3.46  3.370    1.000   3.65   3.01   2.48   1.66   1.10   1.01   0.95   0.94   1.05
 1.300  4596.    0.68  3.46  3.496    1.000   3.48   2.85   2.34   1.55   1.00   0.91   0.85   0.84   0.95
 1.400  4647.    0.74  3.46  3.630    1.000   3.32   2.71   2.21   1.43   0.90   0.82   0.76   0.75   0.85



  t (Gyr) =   0.0010
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
 0.010  2345.   -2.70  3.57  0.273    1.000  17.65  15.00  12.45   9.31   8.82   8.34   7.95   7.64   7.84
 0.015  2504.   -2.42  3.58  0.329    1.000  16.10  13.78  11.35   8.64   8.17   7.74   7.37   7.11   7.25
 0.020  2598.   -2.25  3.59  0.375    1.000  15.19  13.05  10.70   8.21   7.74   7.34   6.99   6.74   6.86
 0.030  2710.   -1.98  3.57  0.471    1.000  14.00  12.07   9.82   7.56   7.08   6.71   6.40   6.16   6.25
 0.040  2779.   -1.81  3.57  0.541    1.000  13.32  11.49   9.31   7.16   6.68   6.33   6.04   5.81   5.89
 0.050  2824.   -1.65  3.53  0.633    1.000  12.78  11.01   8.85   6.76   6.27   5.94   5.66   5.43   5.52
 0.060  2864.   -1.53  3.52  0.708    1.000  12.41  10.67   8.53   6.46   5.97   5.66   5.40   5.17   5.26
 0.070  2897.   -1.41  3.49  0.788    1.000  12.08  10.37   8.23   6.19   5.69   5.39   5.14   4.92   5.01
 0.072  2896.   -1.39  3.48  0.809    1.000  12.04  10.32   8.18   6.13   5.64   5.33   5.09   4.86   4.95
 0.075  2897.   -1.36  3.47  0.836    1.000  11.97  10.25   8.11   6.06   5.56   5.26   5.02   4.79   4.88
 0.080  2898.   -1.31  3.45  0.884    1.000  11.86  10.13   7.99   5.94   5.43   5.13   4.90   4.66   4.76
 0.090  2908.   -1.23  3.42  0.967    1.000  11.65   9.92   7.78   5.73   5.22   4.93   4.70   4.46   4.56
 0.100  2936.   -1.17  3.43  1.010    1.000  11.42   9.73   7.62   5.60   5.08   4.79   4.58   4.35   4.44
 0.200  3226.   -0.66  3.38  1.515    1.000   9.29   7.97   6.10   4.42   3.76   3.55   3.43   3.24   3.36
 0.300  3428.   -0.48  3.48  1.649    1.000   8.29   7.19   5.53   4.06   3.33   3.14   3.05   2.92   3.04
 0.400  3634.   -0.32  3.54  1.767    1.000   7.25   6.34   5.03   3.75   2.98   2.81   2.72   2.65   2.78
 0.500  3802.   -0.18  3.59  1.885    1.000   6.54   5.74   4.64   3.48   2.70   2.55   2.48   2.43   2.57
 0.600  3955.   -0.07  3.62  1.986    1.000   5.97   5.22   4.31   3.24   2.50   2.36   2.29   2.26   2.40
 0.700  4078.    0.04  3.63  2.113    1.000   5.57   4.79   4.02   3.01   2.30   2.17   2.10   2.08   2.22
 0.800  4192.    0.13  3.65  2.218    1.000   5.21   4.45   3.77   2.82   2.14   2.03   1.96   1.94   2.07
 0.900  4290.    0.21  3.66  2.328    1.000   4.90   4.17   3.55   2.64   1.99   1.89   1.82   1.81   1.93
 1.000  4377.    0.28  3.66  2.435    1.000   4.64   3.93   3.35   2.48   1.86   1.76   1.70   1.69   1.80
 1.100  4456.    0.35  3.67  2.540    1.000   4.41   3.73   3.18   2.33   1.74   1.64   1.58   1.57   1.69
 1.200  4529.    0.41  3.68  2.632    0.999   4.21   3.55   3.02   2.20   1.63   1.54   1.48   1.48   1.58
 1.300  4596.    0.47  3.68  2.731    0.998   4.01   3.39   2.87   2.08   1.53   1.45   1.39   1.38   1.48
 1.400  4658.    0.52  3.68  2.819    0.998   3.85   3.24   2.74   1.97   1.44   1.36   1.30   1.29   1.39



  t (Gyr) =   0.0020
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
 0.010  2236.   -2.96  3.75  0.222    1.000  18.79  16.01  13.44   9.98   9.46   8.96   8.52   8.20   8.48
 0.015  2452.   -2.65  3.77  0.264    1.000  16.95  14.52  12.05   9.21   8.72   8.29   7.91   7.63   7.81
 0.020  2571.   -2.46  3.78  0.301    1.000  15.86  13.66  11.28   8.74   8.26   7.85   7.50   7.25   7.39
 0.030  2707.   -2.14  3.73  0.390    1.000  14.42  12.48  10.23   7.98   7.50   7.13   6.81   6.57   6.68
 0.040  2784.   -1.90  3.67  0.484    1.000  13.51  11.70   9.52   7.39   6.91   6.56   6.27   6.04   6.13
 0.050  2829.   -1.72  3.61  0.579    1.000  12.94  11.18   9.03   6.95   6.46   6.13   5.85   5.62   5.71
 0.060  2867.   -1.58  3.57  0.667    1.000  12.51  10.78   8.64   6.59   6.10   5.78   5.52   5.29   5.38
 0.070  2902.   -1.45  3.53  0.749    1.000  12.15  10.45   8.32   6.30   5.80   5.49   5.25   5.02   5.11
 0.072  2907.   -1.43  3.53  0.767    1.000  12.08  10.38   8.26   6.24   5.74   5.44   5.19   4.97   5.06
 0.075  2914.   -1.40  3.52  0.792    1.000  11.99  10.29   8.17   6.16   5.66   5.36   5.12   4.89   4.98
