   t (Gyr) =  0.001
    M/Ms Teff(K)    L/Ls  lg(g)  R(Gcm       D      Li           J           H          Ks          L'          M'      NB1.04      NB1.08      NB1.09      NB1.24      NB1.26      NB1.28      NB1.64      NB1.75      NB2.12      NB2.17      NB3.74      NB4.05      IB2.00      IB2.03      IB2.06      IB2.09      IB2.12      IB2.15      IB2.18      IB2.21      IB2.24      IB2.27      IB2.30      IB2.33      IB2.36      IB2.39      IB2.42      IB2.45      IB2.48       Band1       Band2       Band3
  0.0005   628.   -5.37   2.65  12.25  1.0000  1.0000      16.339      16.846      16.966      13.396      13.836      16.413      16.673      17.319      15.347      15.114      15.185      17.854      18.435      16.361      16.806      13.945      12.429      17.070      16.605      16.277      16.227      16.383      16.646      17.334      18.186      18.562      19.055      19.934      19.336      19.038      18.592      17.936      17.603      17.555      15.539      15.955      17.124
  0.0010   942.   -4.72   3.00  11.57  1.0000  1.0000      15.200      13.861      13.921      11.189      12.361      16.055      15.821      15.981      14.650      14.540      14.419      13.298      14.120      13.527      13.487      11.251      10.777      14.471      14.097      13.785      13.594      13.521      13.508      13.643      13.826      13.911      14.064      15.033      14.491      14.388      14.279      14.178      14.255      14.490      13.615      13.348      13.332
  0.0020  1285.   -4.14   3.26  12.09  1.0000  1.0000      14.202      12.561      11.726       9.907      10.896      15.729      15.152      15.192      13.996      13.856      13.576      12.165      12.419      11.532      11.367       9.916       9.776      12.395      12.154      11.911      11.669      11.516      11.424      11.395      11.417      11.415      11.455      12.275      11.735      11.762      11.788      11.873      12.032      12.247      12.683      12.433      12.315
  0.0030  1553.   -3.75   3.37  12.99  1.0000  1.0000      12.595      11.557      10.809       9.372       9.910      13.782      13.096      13.184      12.389      12.263      11.995      11.168      11.435      10.693      10.498       9.367       9.264      11.423      11.258      11.068      10.841      10.675      10.564      10.504      10.497      10.471      10.477      11.220      10.665      10.718      10.761      10.857      10.990      11.120      11.704      11.453      11.336
  0.0040  1747.   -3.48   3.44  13.92  1.0000  1.0000      11.713      10.837      10.185       8.972       9.250      12.831      12.132      12.214      11.535      11.424      11.151      10.444      10.705      10.134       9.907       8.958       8.869      10.753      10.634      10.489      10.285      10.111       9.982       9.895       9.866       9.825       9.812      10.529       9.974      10.037      10.093      10.196      10.303      10.382      11.014      10.753      10.630
  0.0050  1901.   -3.27   3.47  14.95  1.0000  1.0000      10.978      10.302       9.761       8.682       8.911      11.978      11.305      11.383      10.803      10.717      10.455       9.915      10.182       9.733       9.500       8.663       8.579      10.304      10.201      10.074       9.882       9.710       9.576       9.483       9.447       9.399       9.380      10.090       9.538       9.608       9.674       9.788       9.896       9.969      10.456      10.204      10.091
  0.0060  2004.   -3.13   3.50  15.88  1.0000  1.0000      10.629       9.967       9.448       8.439       8.666      11.587      10.963      11.026      10.473      10.397      10.150       9.607       9.834       9.429       9.200       8.419       8.338       9.965       9.872       9.754       9.571       9.406       9.276       9.183       9.144       9.094       9.069       9.769       9.215       9.287       9.356       9.474       9.586       9.662      10.109       9.877       9.776
  0.0070  2098.   -3.00   3.51  16.85  1.0000  1.0000      10.142       9.603       9.151       8.226       8.441      10.968      10.390      10.451       9.991       9.927       9.693       9.256       9.478       9.138       8.915       8.203       8.126       9.641       9.556       9.449       9.275       9.116       8.989       8.899       8.859       8.806       8.779       9.476       8.921       8.995       9.067       9.186       9.298       9.375       9.728       9.509       9.416
  0.0080  2159.   -2.89   3.52  17.96  1.0000  1.0000       9.891       9.353       8.910       8.023       8.224      10.682      10.145      10.195       9.753       9.694       9.471       9.032       9.225       8.900       8.685       8.000       7.924       9.372       9.293       9.193       9.028       8.878       8.757       8.669       8.631       8.579       8.551       9.239       8.680       8.751       8.822       8.935       9.046       9.122       9.467       9.265       9.180
  0.0090  2207.   -2.81   3.53  18.88  1.0000  1.0000       9.698       9.159       8.723       7.865       8.053      10.465       9.958      10.000       9.571       9.515       9.300       8.858       9.029       8.714       8.507       7.841       7.767       9.162       9.088       8.994       8.837       8.694       8.576       8.492       8.454       8.404       8.374       9.057       8.493       8.563       8.631       8.740       8.850       8.923       9.266       9.076       8.998
  0.0100  2251.   -2.73   3.53  19.81  1.0000  1.0000       9.520       8.984       8.554       7.719       7.884      10.271       9.784       9.820       9.404       9.350       9.139       8.699       8.852       8.549       8.348       7.694       7.621       8.969       8.900       8.812       8.664       8.529       8.416       8.334       8.297       8.247       8.216       8.894       8.326       8.392       8.457       8.560       8.665       8.733       9.086       8.908       8.834
  0.0120  2321.   -2.61   3.54  21.40  1.0000  1.0000       9.236       8.702       8.284       7.486       7.615       9.960       9.507       9.533       9.136       9.085       8.882       8.443       8.571       8.284       8.094       7.460       7.389       8.662       8.600       8.521       8.389       8.266       8.160       8.081       8.045       7.996       7.963       8.634       8.060       8.121       8.180       8.273       8.370       8.432       8.799       8.637       8.570
  0.0150  2400.   -2.46   3.54  24.04  1.0000  1.0000       8.856       8.324       7.919       7.161       7.252       9.552       9.136       9.152       8.773       8.727       8.532       8.095       8.194       7.926       7.746       7.135       7.065       8.255       8.201       8.134       8.019       7.909       7.809       7.736       7.701       7.652       7.619       8.282       7.700       7.754       7.807       7.890       7.978       8.033       8.416       8.272       8.211
  0.0200  2484.   -2.28   3.55  27.47  1.0000  1.0000       8.412       7.876       7.486       6.779       6.818       9.079       8.706       8.709       8.353       8.310       8.127       7.686       7.750       7.501       7.340       6.753       6.687       7.763       7.720       7.666       7.576       7.486       7.399       7.332       7.300       7.253       7.219       7.872       7.279       7.321       7.364       7.431       7.504       7.548       7.965       7.842       7.791
  0.0300  2598.   -2.17   3.69  28.38  0.9800  1.0000       8.154       7.616       7.254       6.600       6.622       8.790       8.454       8.446       8.112       8.072       7.900       7.453       7.498       7.273       7.123       6.574       6.513       7.494       7.454       7.411       7.337       7.258       7.179       7.120       7.090       7.044       7.013       7.661       7.062       7.097       7.134       7.192       7.257       7.299       7.697       7.591       7.548
  0.0400  2746.   -1.94   3.68  33.27  0.7350  1.0000       7.581       7.047       6.716       6.116       6.137       8.180       7.878       7.864       7.542       7.514       7.342       6.896       6.935       6.737       6.594       6.088       6.031       6.936       6.900       6.862       6.795       6.723       6.647       6.591       6.563       6.520       6.489       7.135       6.534       6.568       6.604       6.661       6.727       6.776       7.119       7.022       6.987
  0.0500  2768.   -1.64   3.49  46.38  0.9900  1.0000       6.838       6.306       5.975       5.383       5.394       7.433       7.133       7.119       6.800       6.772       6.601       6.159       6.192       5.999       5.857       5.354       5.297       6.188       6.155       6.119       6.055       5.985       5.910       5.854       5.826       5.783       5.751       6.394       5.792       5.826       5.862       5.918       5.984       6.036       6.379       6.284       6.250
  0.0600  2824.   -1.60   3.57  46.27  0.6050  1.0000       6.762       6.225       5.910       5.342       5.356       7.347       7.058       7.041       6.731       6.702       6.536       6.084       6.115       5.934       5.795       5.313       5.259       6.114       6.081       6.048       5.987       5.920       5.848       5.794       5.767       5.725       5.694       6.338       5.735       5.767       5.802       5.857       5.923       5.979       6.295       6.204       6.173
  0.0700  2853.   -1.48   3.53  52.41  0.5600  1.0000       6.451       5.912       5.605       5.050       5.062       7.032       6.748       6.729       6.423       6.395       6.230       5.773       5.803       5.629       5.492       5.020       4.966       5.803       5.771       5.739       5.681       5.615       5.544       5.491       5.464       5.422       5.392       6.035       5.432       5.464       5.499       5.553       5.619       5.679       5.981       5.891       5.862
  0.0720  2858.   -1.45   3.52  53.68  0.5550  1.0000       6.393       5.853       5.547       4.994       5.006       6.973       6.690       6.671       6.365       6.337       6.173       5.714       5.744       5.571       5.435       4.964       4.911       5.745       5.713       5.681       5.623       5.558       5.487       5.433       5.407       5.365       5.335       5.978       5.375       5.406       5.441       5.496       5.562       5.623       5.922       5.832       5.803
  0.0750  2833.   -1.39   3.46  58.93  0.9150  1.0000       6.225       5.688       5.375       4.812       4.823       6.810       6.522       6.504       6.195       6.167       6.000       5.546       5.577       5.400       5.261       4.782       4.728       5.577       5.545       5.513       5.453       5.386       5.314       5.260       5.232       5.190       5.159       5.802       5.200       5.232       5.268       5.323       5.390       5.450       5.759       5.667       5.636
