



   t (Gyr) = 0.001
age  ageGyr  M  M/Ms  S0  atm  J  H  K  L'  Mp  N  F140M  F162M  F182M  F210M  F250M  F300M  F335M  F360M  F410M  F430M  F460M  F480M  F070W  F090W  F115W  F150W  F200W  F277W  F356W  F444W  F322W2
1.000000 0.001000 1.000000 0.000955 8.750000 3.000000 15.802000 18.042000 17.110000 15.203000 12.828000 12.102000 20.030000 17.591000 19.500000 16.715000 19.259000 17.747000 18.972000 16.629000 13.739000 13.140000 12.878000 12.903000 27.674000 19.863000 16.349000 18.517000 17.660000 18.548000 16.331000 13.234000 16.958000
1.000000 0.001000 2.000000 0.001909 8.750000 3.000000 15.211000 16.369000 15.973000 13.991000 12.415000 11.468000 18.538000 15.983000 17.733000 15.594000 17.589000 16.259000 17.121000 15.122000 12.801000 12.483000 12.460000 12.475000 27.214000 18.860000 15.838000 16.906000 16.453000 16.972000 14.968000 12.595000 15.599000
1.000000 0.001000 3.000000 0.002864 8.750000 3.000000 14.904000 15.687000 15.519000 13.494000 12.211000 11.224000 17.884000 15.335000 17.004000 15.160000 16.891000 15.666000 16.364000 14.507000 12.410000 12.197000 12.253000 12.269000 26.936000 18.371000 15.562000 16.252000 15.968000 16.332000 14.409000 12.301000 15.040000
1.000000 0.001000 4.000000 0.003818 8.750000 3.000000 14.650000 15.234000 15.188000 13.169000 12.068000 11.070000 17.426000 14.905000 16.513000 14.847000 16.418000 15.275000 15.872000 14.108000 12.154000 12.007000 12.107000 12.125000 26.697000 18.011000 15.325000 15.819000 15.620000 15.906000 14.043000 12.101000 14.671000
1.000000 0.001000 5.000000 0.004773 8.750000 3.000000 14.429000 14.891000 14.917000 12.928000 11.957000 10.959000 17.065000 14.580000 16.137000 14.594000 16.053000 14.979000 15.506000 13.813000 11.964000 11.864000 11.995000 12.015000 26.488000 17.719000 15.114000 15.490000 15.340000 15.582000 13.771000 11.949000 14.394000
1.000000 0.001000 6.000000 0.005727 8.750000 3.000000 14.239000 14.618000 14.691000 12.742000 11.871000 10.877000 16.770000 14.322000 15.836000 14.384000 15.762000 14.745000 15.223000 13.586000 11.819000 11.755000 11.908000 11.929000 26.309000 17.477000 14.929000 15.228000 15.108000 15.325000 13.561000 11.831000 14.179000
1.000000 0.001000 7.000000 0.006682 8.750000 3.000000 14.065000 14.384000 14.487000 12.586000 11.798000 10.810000 16.512000 14.100000 15.575000 14.195000 15.511000 14.544000 14.985000 13.395000 11.697000 11.663000 11.834000 11.856000 26.143000 17.260000 14.757000 15.003000 14.901000 15.105000 13.384000 11.732000 13.996000
1.000000 0.001000 8.000000 0.007637 8.750000 3.000000 13.904000 14.178000 14.299000 12.451000 11.735000 10.753000 16.280000 13.905000 15.344000 14.022000 15.287000 14.368000 14.778000 13.231000 11.592000 11.585000 11.770000 11.794000 25.985000 17.062000 14.596000 14.804000 14.712000 14.910000 13.231000 11.646000 13.836000
1.000000 0.001000 9.000000 0.008591 8.750000 3.000000 13.759000 13.997000 14.131000 12.334000 11.682000 10.705000 16.074000 13.734000 15.141000 13.867000 15.091000 14.213000 14.600000 13.089000 11.502000 11.518000 11.715000 11.741000 25.839000 16.883000 14.450000 14.630000 14.544000 14.738000 13.099000 11.573000 13.696000
1.000000 0.001000 10.000000 0.009546 8.750000 3.000000 13.630000 13.841000 13.983000 12.235000 11.637000 10.665000 15.893000 13.586000 14.964000 13.732000 14.919000 14.079000 14.449000 12.969000 11.426000 11.461000 11.670000 11.696000 25.709000 16.725000 14.320000 14.479000 14.397000 14.590000 12.986000 11.510000 13.577000
1.000000 0.001000 11.000000 0.010500 8.750000 3.000000 13.513000 13.700000 13.848000 12.147000 11.597000 10.630000 15.729000 13.454000 14.805000 13.609000 14.765000 13.959000 14.314000 12.863000 11.358000 11.411000 11.630000 11.658000 25.587000 16.581000 14.200000 14.343000 14.262000 14.455000 12.886000 11.455000 13.469000
1.000000 0.001000 12.000000 0.011455 8.750000 3.000000 13.406000 13.574000 13.725000 12.069000 11.564000 10.599000 15.580000 13.335000 14.661000 13.497000 14.625000 13.851000 14.195000 12.768000 11.299000 11.368000 11.596000 11.624000 25.474000 16.448000 14.091000 14.221000 14.141000 14.334000 12.797000 11.407000 13.373000
1.000000 0.001000 13.000000 0.012410 8.750000 3.000000 13.308000 13.458000 13.612000 11.998000 11.534000 10.572000 15.442000 13.226000 14.529000 13.395000 14.496000 13.752000 14.087000 12.682000 11.244000 11.328000 11.566000 11.595000 25.365000 16.325000 13.990000 14.109000 14.029000 14.223000 12.715000 11.363000 13.285000
1.000000 0.001000 14.000000 0.013364 8.750000 3.000000 13.207000 13.339000 13.492000 11.922000 11.504000 10.541000 15.301000 13.114000 14.394000 13.287000 14.363000 13.650000 13.972000 12.591000 11.187000 11.287000 11.535000 11.564000 25.243000 16.197000 13.886000 13.995000 13.912000 14.107000 12.629000 11.317000 13.192000
1.000000 0.001000 15.000000 0.014319 8.750000 3.000000 13.141000 13.262000 13.417000 11.880000 11.489000 10.529000 15.206000 13.042000 14.305000 13.221000 14.277000 13.586000 13.907000 12.539000 11.155000 11.265000 11.520000 11.549000 25.176000 16.112000 13.818000 13.920000 13.838000 14.034000 12.580000 11.292000 13.137000




   t (Gyr) = 0.002
age  ageGyr  M  M/Ms  S0  atm  J  H  K  L'  Mp  N  F140M  F162M  F182M  F210M  F250M  F300M  F335M  F360M  F410M  F430M  F460M  F480M  F070W  F090W  F115W  F150W  F200W  F277W  F356W  F444W  F322W2
